"","gen_id","plant_id","id","segment","cut","zoom","repetition","name","type","value","gtype"
"1","A","A06",1,"S1","C01","Z04","02","secondarygrowth","param",1,"w"
"2","A","A06",1,"S1","C01","Z04","02","randomness","param",3,"w"
"3","A","A06",1,"S1","C01","Z04","02","planttype","param",2,"w"
"4","A","A06",1,"S1","C01","Z04","02","aerenchyma","proportion",0,"w"
"5","A","A06",1,"S1","C01","Z04","02","aerenchyma","n_files",10,"w"
"6","A","A06",1,"S1","C01","Z04","02","xylem","n_files",43,"w"
"7","A","A06",1,"S1","C01","Z04","02","xylem","max_size",3167.425,"w"
"8","A","A06",1,"S1","C01","Z04","02","xylem","mean_size",1445.56660465116,"w"
"9","A","A06",1,"S1","C01","Z04","02","xylem","order",1.5,"w"
"10","A","A06",1,"S1","C01","Z04","02","stele","cell_diameter",0.0126563605609099,"w"
"11","A","A06",1,"S1","C01","Z04","02","stele","SD",151.683664814611,"w"
"12","A","A06",1,"S1","C01","Z04","02","stele","mean_size",514.262464285714,"w"
"13","A","A06",1,"S1","C01","Z04","02","phloem","max_size",0.021299206914433,"w"
"14","A","A06",1,"S1","C01","Z04","02","stele","totarea",2698788.343,"w"
"15","A","A06",1,"S1","C01","Z04","02","stele","order",1,"w"
"16","A","A06",1,"S1","C01","Z04","02","cortex","cell_diameter",0.0868475,"w"
"17","A","A06",1,"S1","C01","Z04","02","cortex","order",4,"w"
"18","A","A06",1,"S1","C01","Z04","02","endodermis","cell_diameter",0.0779205,"w"
"19","A","A06",1,"S1","C01","Z04","02","endodermis","n_layers",1,"w"
"20","A","A06",1,"S1","C01","Z04","02","endodermis","order",3,"w"
"21","A","A06",1,"S1","C01","Z04","02","exodermis","cell_diameter",0.0868475,"w"
"22","A","A06",1,"S1","C01","Z04","02","exodermis","n_layers",1,"w"
"23","A","A06",1,"S1","C01","Z04","02","exodermis","order",5,"w"
"24","A","A06",1,"S1","C01","Z04","02","epidermis","cell_diameter",0.0868475,"w"
"25","A","A06",1,"S1","C01","Z04","02","epidermis","n_layers",1,"w"
"26","A","A06",1,"S1","C01","Z04","02","epidermis","order",6,"w"
"27","A","A06",1,"S1","C01","Z04","02","pericycle","cell_diameter",0.0345488333333333,"w"
"28","A","A06",1,"S1","C01","Z04","02","pericycle","order",2,"w"
"29","A","A06",1,"S1","C01","Z04","02","pericycle","n_layers",1,"w"
"30","A","A06",1,"S1","C01","Z04","02","endodermis","barrier",2,"w"
"31","A","A06",1,"S1","C01","Z04","02","exodermis","barrier",2,"w"
"32","A","A06",1,"S1","C01","Z04","02","stele","n_layers",20,"w"
"33","A","A06",1,"S1","C01","Z04","02","stele","layer_diameter",1.926,"w"
"34","A","A06",1,"S1","C01","Z04","02","cortex","n_layers",4,"w"
"35","A","A06",1,"S1","C01","Z04","02","phloem","n_files",5,"w"
"36","A","A06",1,"S1","C01","Z04","02","phloem","proportion",0.136033229491173,"w"
"37","A","A06",2,"S2","C03","Z10","01","secondarygrowth","param",1,"w"
"38","A","A06",2,"S2","C03","Z10","01","randomness","param",3,"w"
"39","A","A06",2,"S2","C03","Z10","01","planttype","param",2,"w"
"40","A","A06",2,"S2","C03","Z10","01","aerenchyma","proportion",0,"w"
"41","A","A06",2,"S2","C03","Z10","01","aerenchyma","n_files",10,"w"
"42","A","A06",2,"S2","C03","Z10","01","xylem","n_files",27,"w"
"43","A","A06",2,"S2","C03","Z10","01","xylem","max_size",4622.948,"w"
"44","A","A06",2,"S2","C03","Z10","01","xylem","mean_size",1617.13066666667,"w"
"45","A","A06",2,"S2","C03","Z10","01","xylem","order",1.5,"w"
"46","A","A06",2,"S2","C03","Z10","01","stele","cell_diameter",0.00753259898921514,"w"
"47","A","A06",2,"S2","C03","Z10","01","stele","SD",83.2185605172422,"w"
"48","A","A06",2,"S2","C03","Z10","01","stele","mean_size",185.90819047619,"w"
"49","A","A06",2,"S2","C03","Z10","01","phloem","max_size",0.026779,"w"
"50","A","A06",2,"S2","C03","Z10","01","stele","totarea",456082.43,"w"
"51","A","A06",2,"S2","C03","Z10","01","stele","order",1,"w"
"52","A","A06",2,"S2","C03","Z10","01","cortex","cell_diameter",0.047992375,"w"
"53","A","A06",2,"S2","C03","Z10","01","cortex","order",4,"w"
"54","A","A06",2,"S2","C03","Z10","01","endodermis","cell_diameter",0.0387948333333333,"w"
"55","A","A06",2,"S2","C03","Z10","01","endodermis","n_layers",1,"w"
"56","A","A06",2,"S2","C03","Z10","01","endodermis","order",3,"w"
"57","A","A06",2,"S2","C03","Z10","01","exodermis","cell_diameter",0.047992375,"w"
"58","A","A06",2,"S2","C03","Z10","01","exodermis","n_layers",1,"w"
"59","A","A06",2,"S2","C03","Z10","01","exodermis","order",5,"w"
"60","A","A06",2,"S2","C03","Z10","01","epidermis","cell_diameter",0.047992375,"w"
"61","A","A06",2,"S2","C03","Z10","01","epidermis","n_layers",1,"w"
"62","A","A06",2,"S2","C03","Z10","01","epidermis","order",6,"w"
"63","A","A06",2,"S2","C03","Z10","01","pericycle","cell_diameter",0.028889625,"w"
"64","A","A06",2,"S2","C03","Z10","01","pericycle","order",2,"w"
"65","A","A06",2,"S2","C03","Z10","01","pericycle","n_layers",1,"w"
"66","A","A06",2,"S2","C03","Z10","01","endodermis","barrier",1,"w"
"67","A","A06",2,"S2","C03","Z10","01","exodermis","barrier",2,"w"
"68","A","A06",2,"S2","C03","Z10","01","stele","n_layers",20,"w"
"69","A","A06",2,"S2","C03","Z10","01","stele","layer_diameter",0.7638,"w"
