CS_id,param_id,value
A06_S1_C01_Z04_02,param_7,3167.425
A06_S1_C01_Z04_02,param_25,1
A06_S1_C01_Z04_02,param_4,0
A06_S1_C01_Z04_02,param_32,20
A06_S1_C01_Z04_02,param_33,1.926
A06_S1_C01_Z04_02,param_2,3
A06_S1_C01_Z04_02,param_31,2
A06_S1_C01_Z04_02,param_3,2
A06_S1_C01_Z04_02,param_14,2698788.343
A06_S1_C01_Z04_02,param_29,1
A06_S1_C01_Z04_02,param_18,0.0779205
A06_S1_C01_Z04_02,param_22,1
A06_S1_C01_Z04_02,param_15,1
A06_S1_C01_Z04_02,param_12,514.262464285714
A06_S1_C01_Z04_02,param_11,151.683664814611
A06_S1_C01_Z04_02,param_34,4
A06_S1_C01_Z04_02,param_6,43
A06_S1_C01_Z04_02,param_30,2
A06_S1_C01_Z04_02,param_17,4
A06_S1_C01_Z04_02,param_20,3
A06_S1_C01_Z04_02,param_21,0.0868475
A06_S1_C01_Z04_02,param_23,5
A06_S1_C01_Z04_02,param_10,0.0126563605609099
A06_S1_C01_Z04_02,param_27,0.0345488333333333
A06_S1_C01_Z04_02,param_16,0.0868475
A06_S1_C01_Z04_02,param_8,1445.56660465116
A06_S1_C01_Z04_02,param_28,2
A06_S1_C01_Z04_02,param_9,1.5
A06_S1_C01_Z04_02,param_24,0.0868475
A06_S1_C01_Z04_02,param_26,6
A06_S1_C01_Z04_02,param_5,10
A06_S1_C01_Z04_02,param_13,0.021299206914433
A06_S1_C01_Z04_02,param_19,1
A06_S1_C01_Z04_02,param_1,1
A06_S1_C01_Z04_02,param_35,5
A06_S1_C01_Z04_02,param_36,0.136033229491173
A06_S2_C03_Z10_01,param_9,1.5
A06_S2_C03_Z10_01,param_5,10
A06_S2_C03_Z10_01,param_22,1
A06_S2_C03_Z10_01,param_28,2
A06_S2_C03_Z10_01,param_32,20
A06_S2_C03_Z10_01,param_17,4
A06_S2_C03_Z10_01,param_25,1
A06_S2_C03_Z10_01,param_16,0.047992375
A06_S2_C03_Z10_01,param_24,0.047992375
A06_S2_C03_Z10_01,param_27,0.028889625
A06_S2_C03_Z10_01,param_6,27
A06_S2_C03_Z10_01,param_30,1
A06_S2_C03_Z10_01,param_36,0.162267609321812
A06_S2_C03_Z10_01,param_26,6
A06_S2_C03_Z10_01,param_31,2
A06_S2_C03_Z10_01,param_1,1
A06_S2_C03_Z10_01,param_15,1
A06_S2_C03_Z10_01,param_10,0.00753259898921514
A06_S2_C03_Z10_01,param_2,3
A06_S2_C03_Z10_01,param_13,0.026779
A06_S2_C03_Z10_01,param_18,0.0387948333333333
A06_S2_C03_Z10_01,param_8,1617.13066666667
A06_S2_C03_Z10_01,param_14,456082.43
A06_S2_C03_Z10_01,param_7,4622.948
A06_S2_C03_Z10_01,param_21,0.047992375
A06_S2_C03_Z10_01,param_20,3
A06_S2_C03_Z10_01,param_34,4
A06_S2_C03_Z10_01,param_33,0.7638
A06_S2_C03_Z10_01,param_29,1
A06_S2_C03_Z10_01,param_23,5
A06_S2_C03_Z10_01,param_11,83.2185605172422
A06_S2_C03_Z10_01,param_4,0
A06_S2_C03_Z10_01,param_35,4
A06_S2_C03_Z10_01,param_12,185.90819047619
A06_S2_C03_Z10_01,param_19,1
A06_S2_C03_Z10_01,param_3,2
A06_S4_C01_Z20_01,param_9,1.5
A06_S4_C01_Z20_01,param_33,0.1
A06_S4_C01_Z20_01,param_7,316.938
A06_S4_C01_Z20_01,param_31,1
A06_S4_C01_Z20_01,param_22,1
A06_S4_C01_Z20_01,param_30,0
A06_S4_C01_Z20_01,param_25,1
A06_S4_C01_Z20_01,param_10,0.00354545667593465
A06_S4_C01_Z20_01,param_23,5
A06_S4_C01_Z20_01,param_35,1
A06_S4_C01_Z20_01,param_27,0.0095091052631579
A06_S4_C01_Z20_01,param_4,0
A06_S4_C01_Z20_01,param_16,0.018625125
A06_S4_C01_Z20_01,param_18,0.0129587333333333
A06_S4_C01_Z20_01,param_19,1
A06_S4_C01_Z20_01,param_26,6
A06_S4_C01_Z20_01,param_29,1
A06_S4_C01_Z20_01,param_1,1
A06_S4_C01_Z20_01,param_6,7
A06_S4_C01_Z20_01,param_5,10
A06_S4_C01_Z20_01,param_34,5
A06_S4_C01_Z20_01,param_32,7
A06_S4_C01_Z20_01,param_21,0.0246547
A06_S4_C01_Z20_01,param_17,4
A06_S4_C01_Z20_01,param_12,41.552
A06_S4_C01_Z20_01,param_2,3
A06_S4_C01_Z20_01,param_28,2
A06_S4_C01_Z20_01,param_3,2
A06_S4_C01_Z20_01,param_20,3
A06_S4_C01_Z20_01,param_11,18.3441633422534
A06_S4_C01_Z20_01,param_15,1
A06_S4_C01_Z20_01,param_36,0.12
A06_S4_C01_Z20_01,param_13,0.00473092642193939
A06_S4_C01_Z20_01,param_24,0.0246547
A06_S4_C01_Z20_01,param_14,8154.875
A06_S4_C01_Z20_01,param_8,151.357285714286
A07_S2_C01_Z10_01,param_7,4192.03
A07_S2_C01_Z10_01,param_18,0.0642225
A07_S2_C01_Z10_01,param_13,0.026328
A07_S2_C01_Z10_01,param_8,1333.00364102564
A07_S2_C01_Z10_01,param_33,0.99
A07_S2_C01_Z10_01,param_23,5
A07_S2_C01_Z10_01,param_29,1
A07_S2_C01_Z10_01,param_22,1
A07_S2_C01_Z10_01,param_6,39
A07_S2_C01_Z10_01,param_9,1.5
A07_S2_C01_Z10_01,param_16,0.0639349375
A07_S2_C01_Z10_01,param_10,0.00955377955886474
A07_S2_C01_Z10_01,param_3,2
A07_S2_C01_Z10_01,param_14,748144.678
A07_S2_C01_Z10_01,param_36,0.244040404040404
A07_S2_C01_Z10_01,param_27,0.0357024
A07_S2_C01_Z10_01,param_31,2
A07_S2_C01_Z10_01,param_32,16
A07_S2_C01_Z10_01,param_5,10
A07_S2_C01_Z10_01,param_4,0
A07_S2_C01_Z10_01,param_17,4
A07_S2_C01_Z10_01,param_35,5
A07_S2_C01_Z10_01,param_19,1
A07_S2_C01_Z10_01,param_21,0.049015
A07_S2_C01_Z10_01,param_24,0.049015
A07_S2_C01_Z10_01,param_28,2
A07_S2_C01_Z10_01,param_25,1
A07_S2_C01_Z10_01,param_15,1
A07_S2_C01_Z10_01,param_26,6
A07_S2_C01_Z10_01,param_30,2
A07_S2_C01_Z10_01,param_2,3
A07_S2_C01_Z10_01,param_1,1
A07_S2_C01_Z10_01,param_20,3
A07_S2_C01_Z10_01,param_12,296.331029411765
A07_S2_C01_Z10_01,param_11,111.056763286191
A07_S2_C01_Z10_01,param_34,4
A07_S3_C01_Z20_01,param_24,0.035735
A07_S3_C01_Z20_01,param_36,0.279130434782609
A07_S3_C01_Z20_01,param_27,0.0119353
A07_S3_C01_Z20_01,param_22,1
A07_S3_C01_Z20_01,param_5,10
A07_S3_C01_Z20_01,param_13,0.010084
A07_S3_C01_Z20_01,param_7,1122.188
A07_S3_C01_Z20_01,param_29,1
A07_S3_C01_Z20_01,param_15,1
A07_S3_C01_Z20_01,param_14,41362.062
A07_S3_C01_Z20_01,param_26,6
A07_S3_C01_Z20_01,param_16,0.023931
A07_S3_C01_Z20_01,param_20,3
A07_S3_C01_Z20_01,param_30,1
A07_S3_C01_Z20_01,param_32,15
A07_S3_C01_Z20_01,param_31,1
A07_S3_C01_Z20_01,param_25,1
A07_S3_C01_Z20_01,param_11,22.0982576296564
A07_S3_C01_Z20_01,param_35,4
A07_S3_C01_Z20_01,param_19,1
A07_S3_C01_Z20_01,param_9,1.5
A07_S3_C01_Z20_01,param_1,1
A07_S3_C01_Z20_01,param_12,49.6165333333333
A07_S3_C01_Z20_01,param_2,3
A07_S3_C01_Z20_01,param_3,2
A07_S3_C01_Z20_01,param_4,0
A07_S3_C01_Z20_01,param_10,0.00386742301847566
A07_S3_C01_Z20_01,param_28,2
A07_S3_C01_Z20_01,param_18,0.0286445
A07_S3_C01_Z20_01,param_8,400.179133333333
A07_S3_C01_Z20_01,param_34,2
A07_S3_C01_Z20_01,param_33,0.23
A07_S3_C01_Z20_01,param_21,0.035735
A07_S3_C01_Z20_01,param_23,5
A07_S3_C01_Z20_01,param_6,15
A07_S3_C01_Z20_01,param_17,4
A07_S3_C02_Z20_01,param_24,0.030953
A07_S3_C02_Z20_01,param_22,1
A07_S3_C02_Z20_01,param_28,2
A07_S3_C02_Z20_01,param_19,1
A07_S3_C02_Z20_01,param_29,1
A07_S3_C02_Z20_01,param_11,18.3317384732204
A07_S3_C02_Z20_01,param_12,61.5447142857143
A07_S3_C02_Z20_01,param_31,1
A07_S3_C02_Z20_01,param_17,4
A07_S3_C02_Z20_01,param_3,2
A07_S3_C02_Z20_01,param_18,0.0291958333333333
