CS_id,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12,param_13,param_14,param_15,param_16,param_17,param_18,param_19,param_20,param_21,param_22,param_23,param_24,param_25,param_26,param_27,param_28,param_29,param_30,param_31,param_32,param_33,param_34,param_35,param_36
A06_S1_C01_Z04_02,1,3,2,0,10,43,3167.425,1445.56660465116,1.5,0.0126563605609099,151.683664814611,514.262464285714,0.021299206914433,2698788.343,1,0.0868475,4,0.0779205,1,3,0.0868475,1,5,0.0868475,1,6,0.0345488333333333,2,1,2,2,20,1.926,4,5,0.136033229491173
A06_S2_C03_Z10_01,1,3,2,0,10,27,4622.948,1617.13066666667,1.5,0.00753259898921514,83.2185605172422,185.90819047619,0.026779,456082.43,1,0.047992375,4,0.0387948333333333,1,3,0.047992375,1,5,0.047992375,1,6,0.028889625,2,1,1,2,20,0.7638,4,4,0.162267609321812
A06_S4_C01_Z20_01,1,3,2,0,10,7,316.938,151.357285714286,1.5,0.00354545667593465,18.3441633422534,41.552,0.00473092642193939,8154.875,1,0.018625125,4,0.0129587333333333,1,3,0.0246547,1,5,0.0246547,1,6,0.0095091052631579,2,1,0,1,7,0.1,5,1,0.12
A07_S2_C01_Z10_01,1,3,2,0,10,39,4192.03,1333.00364102564,1.5,0.00955377955886474,111.056763286191,296.331029411765,0.026328,748144.678,1,0.0639349375,4,0.0642225,1,3,0.049015,1,5,0.049015,1,6,0.0357024,2,1,2,2,16,0.99,4,5,0.244040404040404
A07_S3_C01_Z20_01,1,3,2,0,10,15,1122.188,400.179133333333,1.5,0.00386742301847566,22.0982576296564,49.6165333333333,0.010084,41362.062,1,0.023931,4,0.0286445,1,3,0.035735,1,5,0.035735,1,6,0.0119353,2,1,1,1,15,0.23,2,4,0.279130434782609
A07_S3_C02_Z20_01,1,3,2,0,10,17,931.875,357.169117647059,1.5,0.00438070229407716,18.3317384732204,61.5447142857143,0.010287,42055.5,1,0.0318988571428571,4,0.0291958333333333,1,3,0.030953,1,5,0.030953,1,6,0.0107321111111111,2,1,1,1,13,0.23,2,5,0.230434782608696
A08_S3_C01_Z10_06,1,3,2,0,10,11,1630.588,945.352545454545,1.5,0.00750873351471622,61.0403994615281,181.556173913043,0.020185,159116.342,1,0.0276794,4,0.0276798888888889,1,3,0.024318,1,5,0.024318,1,6,0.0144005714285714,2,1,1,2,9,0.44,3,5,0.27
A08_S4_C03_Z20_01,1,3,2,0,10,6,900.188,319.625,1.5,0.00433508388097113,16.6911052470854,60.1423888888889,0.0111311044634963,12256,1,0.0248467777777778,4,0.0175537,1,3,0.016981125,1,5,0.016981125,1,6,0.0110803,2,1,1,1,6,0.125,3,1,0.1424
A09_S2_C01_Z04_01,1,3,2,0,10,40,3543.985,1604.43225,1.5,0.0129379337748223,344.348555435794,571.783039215686,0.031863,1502456.646,1,0.0484676,4,0.0464980666666667,1,3,0.0369888333333333,1,5,0.035779,1,6,0.0351048571428571,2,1,2,2,18,1.3576,2,5,0.133706540954626
A09_S3_C01_Z10_03,1,3,2,0,10,17,1552.292,836.147352941176,1.5,0.00634388862296901,54.6592453917908,132.052,0.017335,217904.049,1,0.0580588333333333,4,0.0513729,1,3,0.053201,1,5,0.053201,1,6,0.0248215,2,1,1,2,10,0.537,2,6,0.259217877094972
A09_S4_C04_Z20_01,1,3,2,0,10,8,1197.875,673.40625,1.5,0.00395679610537242,20.3540135660575,51.0446428571429,0.006749,36391.81739135,1,0.024155,4,0.0262407142857143,1,3,0.0309526666666667,1,5,0.0309526666666667,1,6,0.00964144444444444,2,1,1,2,8,0.21526,2,5,0.246213880888228
G03_S2_C01_Z10_01,1,3,2,0,10,39,3705.724,1404.69694871795,1.5,0.00832574959834805,68.6518261112777,223.009481481481,0.024216,511011.216,1,0.0715376666666667,4,0.045131,1,3,0.0358136428571429,1,5,0.0358136428571429,1,6,0.02783875,2,1,2,2,16,0.8054,6,6,0.235788428110256
G03_S3_C04_Z10_05,1,3,2,0,10,27,4076.615,1438.10222222222,1.5,0.00687186688478141,36.0486611463268,150.62847826087,0.0125,264074,1,0.0479454,4,0.0528828333333333,1,3,0.0405856666666667,1,5,0.0405856666666667,1,6,0.0194085,2,1,2,2,15,0.58,5,5,0.183103448275862
G03_S4_C01_Z20_03,1,3,2,0,10,8,2716.938,1091.875,1.5,0.00542570321156666,31.4312385953544,94.9957333333333,0.007075,34525.125,1,0.025742,4,0.0214922222222222,1,3,0.0282261666666667,1,5,0.0282261666666667,1,6,0.00881783333333333,2,1,1,1,9,0.199,3,4,0.250251256281407
G04_S2_C01_Z04_01,1,3,2,0,10,46,4125.94,1199.47586956522,1.5,0.00979137993284503,109.493850052884,309.4829,0.0209118261370403,455107.428,1,0.068783,4,0.0470141666666667,1,3,0.02982975,1,5,0.02982975,1,6,0.0228138181818182,2,1,1,2,17,0.769,6,4,0.188296488946684
G04_S3_C01_Z10_01,1,3,2,0,10,14,2472.416,918.156142857143,1.5,0.0053181285599197,21.0802396106322,89.9800416666667,0.015487,91444.299,1,0.0424906923076923,4,0.0313569166666667,1,3,0.0340937777777778,1,5,0.0280728,1,6,0.0144341333333333,2,1,1,2,11,0.33914,4,4,0.267146311257888
G09_S4_C03_Z10_01,1,3,2,0,10,18,2829.098,1062.76438888889,1.5,0.006120771361995,53.3706376294622,122.17375862069,0.01105,110759.069,1,0.043741,4,0.040169625,1,3,0.0431911818181818,1,5,0.0431911818181818,1,6,0.0238424285714286,2,1,1,2,9,0.368515,3,4,0.201189910858445
