"","name","type","param_id"
"1","secondarygrowth","param","param_1"
"2","randomness","param","param_2"
"3","planttype","param","param_3"
"4","aerenchyma","proportion","param_4"
"5","aerenchyma","n_files","param_5"
"6","xylem","n_files","param_6"
"7","xylem","max_size","param_7"
"8","xylem","mean_size","param_8"
"9","xylem","order","param_9"
"10","stele","cell_diameter","param_10"
"11","stele","SD","param_11"
"12","stele","mean_size","param_12"
"13","phloem","max_size","param_13"
"14","stele","totarea","param_14"
"15","stele","order","param_15"
"16","cortex","cell_diameter","param_16"
"17","cortex","order","param_17"
"18","endodermis","cell_diameter","param_18"
"19","endodermis","n_layers","param_19"
"20","endodermis","order","param_20"
"21","exodermis","cell_diameter","param_21"
"22","exodermis","n_layers","param_22"
"23","exodermis","order","param_23"
"24","epidermis","cell_diameter","param_24"
"25","epidermis","n_layers","param_25"
"26","epidermis","order","param_26"
"27","pericycle","cell_diameter","param_27"
"28","pericycle","order","param_28"
"29","pericycle","n_layers","param_29"
"30","endodermis","barrier","param_30"
"31","exodermis","barrier","param_31"
"32","stele","n_layers","param_32"
"33","stele","layer_diameter","param_33"
"34","cortex","n_layers","param_34"
"35","phloem","n_files","param_35"
"36","phloem","proportion","param_36"
